month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2015-06,Colorado,4241.0,,15127.0,10700.0,722.0,826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,31777
2015-06,Connecticut,11856.0,,9429.0,3201.0,119.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,24605
2015-06,Delaware,436.0,,1589.0,1169.0,59.0,42,0.0,4.0,4.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3332
2015-06,District of Columbia,0.0,,45.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49
2015-06,Florida,15397.0,,39592.0,17115.0,1989.0,1395,185.0,7.0,8.0,0.0,2404.0,1007.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,79101
2015-06,Georgia,13230.0,,11502.0,6000.0,279.0,394,0.0,14.0,10.0,1.0,1807.0,1435.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34674
2015-06,Guam,0.0,,108.0,56.0,15.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,184
2015-06,Hawaii,1209.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1213
2015-06,Idaho,2849.0,,2381.0,3063.0,126.0,152,0.0,2.0,5.0,0.0,306.0,488.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9373
2015-06,Illinois,53952.0,,17666.0,8230.0,0.0,583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,80431
2015-06,Indiana,37734.0,,14845.0,8455.0,742.0,513,1.0,3.0,8.0,0.0,6.0,431.0,1.0,13.0,2.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62755
2015-06,Iowa,5452.0,,184.0,1634.0,24.0,3,0.0,0.0,0.0,0.0,2.0,59.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7359
2015-06,Kansas,1415.0,,4610.0,3174.0,222.0,207,0.0,3.0,4.0,0.0,473.0,354.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10463
2015-06,Kentucky,225599.0,,7280.0,5300.0,178.0,402,2.0,2.0,7.0,0.0,1590.0,1656.0,2.0,7.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,242027
2015-06,Louisiana,1253.0,,10584.0,6441.0,529.0,448,0.0,3.0,3.0,0.0,881.0,899.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,21042
2015-06,Maine,626.0,,2906.0,2155.0,127.0,107,6.0,0.0,1.0,0.0,80.0,137.0,0.0,4.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6151
2015-06,Mariana Islands,0.0,,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2
2015-06,Maryland,1821.0,,2929.0,3776.0,91.0,12,0.0,1.0,2.0,0.0,56.0,112.0,1.0,3.0,1.0,0.0,,,0.0,17.0,2.0,0.0,2.0,0.0,8826
2015-06,Massachusetts,4456.0,,4398.0,2122.0,284.0,114,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11383
2015-06,Michigan,14561.0,,8683.0,6668.0,313.0,153,1.0,0.0,0.0,0.0,5.0,263.0,1.0,61.0,14.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30723
2015-06,Minnesota,18144.0,,7117.0,7084.0,358.0,238,0.0,1.0,1.0,0.0,175.0,407.0,0.0,16.0,8.0,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33553
2015-06,Mississippi,729.0,,6160.0,3422.0,207.0,230,43.0,40.0,29.0,2.0,1197.0,1051.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13111
2015-06,Missouri,6929.0,,16285.0,9733.0,949.0,755,0.0,11.0,5.0,0.0,1055.0,1147.0,5.0,112.0,24.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37010
2015-06,Montana,904.0,,2514.0,3684.0,83.0,172,9.0,4.0,6.0,7.0,427.0,707.0,1.0,4.0,5.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8529
2015-06,Nebraska,2903.0,,142.0,1238.0,14.0,1,0.0,0.0,1.0,0.0,3.0,67.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4369
2015-06,Nevada,2305.0,,3778.0,2373.0,164.0,190,0.0,0.0,0.0,0.0,243.0,131.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9186
2015-06,New Hampshire,3609.0,,3745.0,2356.0,63.0,1,14.0,0.0,0.0,0.0,0.0,11.0,0.0,74.0,5.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9881
2015-06,New Jersey,0.0,,4261.0,2606.0,140.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7007
2015-06,New Mexico,640.0,,4546.0,3374.0,307.0,209,0.0,1.0,3.0,0.0,400.0,447.0,2.0,39.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9969
2015-06,New York,3222.0,,8140.0,10400.0,444.0,150,0.0,0.0,0.0,0.0,12.0,11.0,1.0,0.0,0.0,0.0,,,207.0,114.0,6.0,2.0,8.0,0.0,22717
2015-06,North Carolina,19637.0,,1034.0,8587.0,459.0,190,0.0,7.0,6.0,1.0,1789.0,2166.0,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33889
2015-06,North Dakota,808.0,,1335.0,2008.0,57.0,55,0.0,3.0,1.0,0.0,67.0,147.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4481
2015-06,Ohio,9361.0,,22545.0,13307.0,1118.0,889,3.0,21.0,8.0,0.0,1203.0,827.0,11.0,3.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49297
2015-06,Oklahoma,0.0,,10529.0,6612.0,679.0,664,0.0,10.0,7.0,0.0,1742.0,1541.0,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,21793
2015-06,Oregon,31.0,,9661.0,8073.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,17765
2015-06,Pennsylvania,17846.0,,39007.0,6733.0,0.0,0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,112.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,64122
2015-06,Puerto Rico,0.0,,1228.0,198.0,26.0,36,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1499
2015-06,Rhode Island,0.0,,797.0,572.0,31.0,105,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1512
2015-06,South Carolina,6565.0,,7693.0,4135.0,351.0,296,4.0,7.0,2.0,0.0,995.0,705.0,1.0,5.0,3.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,20763
2015-06,South Dakota,595.0,,1866.0,2611.0,126.0,124,0.0,3.0,1.0,0.0,121.0,198.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5645
2015-06,Tennessee,12888.0,,18596.0,10241.0,0.0,833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42558
2015-06,Texas,21211.0,,43199.0,27650.0,2432.0,2114,0.0,24.0,17.0,0.0,5749.0,4042.0,23.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,106461
2015-06,Utah,14428.0,,2549.0,2745.0,152.0,136,0.0,0.0,0.0,2.0,195.0,251.0,0.0,177.0,46.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,20684
2015-06,Vermont,0.0,,1149.0,890.0,52.0,39,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2135
2015-06,Virgin Islands,75.0,,25.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,104
2015-06,Virginia,504.0,,16539.0,10126.0,733.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,27904
2015-06,Washington,7915.0,,12207.0,8243.0,905.0,512,7.0,4.0,3.0,0.0,1058.0,995.0,4.0,415.0,116.0,7.0,,,213.0,149.0,11.0,5.0,13.0,1.0,32783
2015-06,West Virginia,2003.0,,5468.0,4455.0,193.0,295,4.0,1.0,1.0,0.0,972.0,1300.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14695
2015-06,Wisconsin,4287.0,,9973.0,7540.0,466.0,34,0.0,0.0,0.0,0.0,97.0,237.0,7.0,53.0,17.0,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,22715
2015-06,Wyoming,764.0,,1380.0,1731.0,62.0,70,1.0,1.0,1.0,0.0,162.0,216.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4388
2015-05,Alabama,15495.0,,15629.0,9031.0,525.0,631,0.0,16.0,14.0,1.0,2258.0,1520.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,45128
2015-05,Alaska,203.0,,2866.0,2337.0,178.0,166,0.0,11.0,12.0,0.0,205.0,186.0,2.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6168
2015-05,Arizona,4719.0,,10829.0,6105.0,590.0,418,0.0,7.0,3.0,0.0,1183.0,582.0,5.0,61.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,24503
2015-05,Arkansas,4750.0,,4871.0,3881.0,170.0,268,0.0,1.0,5.0,0.0,932.0,1379.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,16258
2015-05,California,53467.0,,36049.0,25174.0,3848.0,0,0.0,0.0,0.0,0.0,537.0,493.0,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,119574
2015-05,Colorado,4338.0,,15660.0,11252.0,776.0,879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,18.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33062
2015-05,Connecticut,11817.0,,9170.0,3432.0,152.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,24571
2015-05,Delaware,748.0,,1597.0,1197.0,38.0,55,0.0,4.0,4.0,0.0,33.0,6.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3683
2015-05,District of Columbia,0.0,,50.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,53
2015-05,Florida,13949.0,,39775.0,17145.0,1962.0,1420,170.0,7.0,2.0,0.0,2194.0,973.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,77601
2015-05,Georgia,11956.0,,11029.0,5941.0,323.0,405,0.0,8.0,8.0,0.0,1814.0,1467.0,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32956
2015-05,Guam,0.0,,91.0,44.0,7.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,148
2015-05,Hawaii,1142.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1145
2015-05,Idaho,2533.0,,2751.0,3569.0,131.0,157,0.0,1.0,7.0,0.0,320.0,494.0,1.0,4.0,5.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9975
2015-05,Illinois,47092.0,,19457.0,9346.0,0.0,643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,76538
2015-05,Indiana,38129.0,,15952.0,8778.0,744.0,566,0.0,4.0,3.0,0.0,10.0,414.0,4.0,4.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,64608
2015-05,Iowa,5573.0,,167.0,1781.0,12.0,9,0.0,1.0,0.0,0.0,3.0,51.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7597
2015-05,Kansas,1829.0,,5200.0,3969.0,233.0,262,6.0,2.0,5.0,0.0,423.0,319.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,12249
2015-05,Kentucky,255314.0,,7321.0,5133.0,185.0,393,0.0,6.0,1.0,0.0,1599.0,1659.0,0.0,2.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,271614
2015-05,Louisiana,1805.0,,9916.0,6452.0,542.0,441,0.0,2.0,4.0,0.0,897.0,882.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,20941
2015-05,Maine,548.0,,2593.0,2273.0,110.0,108,2.0,1.0,0.0,0.0,77.0,148.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5860
2015-05,Mariana Islands,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1
2015-05,Maryland,1155.0,,2665.0,3972.0,88.0,14,0.0,1.0,1.0,0.0,58.0,129.0,2.0,2.0,2.0,0.0,,,0.0,13.0,2.0,0.0,1.0,0.0,8105
2015-05,Massachusetts,4692.0,,4529.0,2296.0,267.0,111,6.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11907
2015-05,Michigan,16080.0,,9289.0,6839.0,260.0,163,0.0,0.0,2.0,0.0,4.0,258.0,0.0,58.0,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32961
2015-05,Minnesota,20670.0,,8050.0,7795.0,382.0,284,0.0,0.0,0.0,0.0,160.0,417.0,0.0,12.0,6.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37779
2015-05,Mississippi,669.0,,6734.0,3669.0,159.0,238,25.0,32.0,36.0,0.0,1134.0,1107.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13803
2015-05,Missouri,6510.0,,17111.0,10085.0,799.0,730,0.0,7.0,10.0,0.0,1065.0,1147.0,2.0,84.0,11.0,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37565
2015-05,Montana,892.0,,2840.0,4108.0,75.0,223,15.0,1.0,3.0,2.0,401.0,802.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9364
2015-05,Nebraska,2841.0,,104.0,1455.0,13.0,11,0.0,0.0,0.0,0.0,3.0,73.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4500
2015-05,Nevada,2363.0,,4200.0,2611.0,170.0,212,0.0,0.0,0.0,0.0,266.0,137.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9959
2015-05,New Hampshire,4144.0,,3813.0,2468.0,55.0,1,4.0,0.0,0.0,0.0,0.0,17.0,0.0,49.0,1.0,12.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10564
2015-05,New Jersey,0.0,,4118.0,2453.0,133.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6704
2015-05,New Mexico,732.0,,5143.0,3645.0,268.0,254,0.0,3.0,1.0,0.0,433.0,507.0,2.0,33.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11021
2015-05,New York,2788.0,,7767.0,10516.0,449.0,114,0.0,0.0,0.0,0.0,8.0,13.0,1.0,0.0,0.0,0.0,,,174.0,134.0,5.0,0.0,6.0,2.0,21977
2015-05,North Carolina,18448.0,,1155.0,8393.0,482.0,182,0.0,9.0,13.0,0.0,1675.0,1994.0,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32357
2015-05,North Dakota,500.0,,1507.0,2349.0,49.0,68,0.0,2.0,1.0,0.0,72.0,135.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4683
2015-05,Ohio,10082.0,,22978.0,12473.0,1026.0,958,0.0,7.0,3.0,0.0,1161.0,729.0,5.0,4.0,0.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,49428
2015-05,Oklahoma,0.0,,11082.0,7434.0,845.0,674,0.0,6.0,8.0,0.0,1623.0,1532.0,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23210
2015-05,Oregon,33.0,,10537.0,8722.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,19292
2015-05,Pennsylvania,16899.0,,38419.0,6825.0,0.0,0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,80.0,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62676
2015-05,Puerto Rico,0.0,,1263.0,149.0,36.0,17,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1477
2015-05,Rhode Island,0.0,,865.0,520.0,35.0,122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1543
2015-05,South Carolina,6173.0,,7725.0,4088.0,395.0,273,0.0,4.0,4.0,1.0,914.0,674.0,2.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,20254
2015-05,South Dakota,626.0,,2260.0,2932.0,139.0,129,1.0,0.0,1.0,0.0,134.0,214.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6436
2015-05,Tennessee,10582.0,,18928.0,10314.0,0.0,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,40597
2015-05,Texas,21646.0,,44935.0,29899.0,2679.0,2233,0.0,17.0,21.0,0.0,5551.0,4004.0,27.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,111012
2015-05,Utah,11653.0,,2927.0,2935.0,141.0,161,0.0,0.0,0.0,0.0,221.0,292.0,0.0,169.0,42.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,18544
2015-05,Vermont,0.0,,1152.0,921.0,47.0,48,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2172
2015-05,Virgin Islands,101.0,,12.0,2.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,118
2015-05,Virginia,846.0,,17065.0,9854.0,680.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,28447
2015-05,Washington,8106.0,,12928.0,8555.0,1034.0,461,5.0,1.0,6.0,0.0,1095.0,949.0,2.0,302.0,115.0,6.0,,,204.0,161.0,5.0,3.0,5.0,0.0,33943
2015-05,West Virginia,2272.0,,5596.0,4499.0,185.0,383,0.0,1.0,3.0,0.0,994.0,1355.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,15288
2015-05,Wisconsin,4783.0,,10130.0,8532.0,483.0,28,0.0,0.0,0.0,0.0,96.0,240.0,7.0,42.0,16.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,24362
2015-05,Wyoming,493.0,,1758.0,1871.0,93.0,97,0.0,1.0,1.0,0.0,126.0,172.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4612
2015-04,Alabama,17623.0,,14929.0,9809.0,602.0,628,0.0,13.0,11.0,1.0,1917.0,1433.0,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,46971
2015-04,Alaska,242.0,,3107.0,2908.0,186.0,200,0.0,10.0,10.0,0.0,209.0,157.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,7030
2015-04,Arizona,4046.0,,11236.0,6438.0,694.0,450,0.0,1.0,3.0,0.0,1194.0,651.0,1.0,46.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,24762
2015-04,Arkansas,4927.0,,4951.0,4514.0,168.0,294,4.0,7.0,8.0,0.0,848.0,1412.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,17135
